Модель,Серия,Год,Объем двигателя (л),Топливо,Привод,Мощность (л.с.),Пробег (км),КПП,Цена (₽),Ссылка
"BMW X3 3.0 AT, 2012, 117 000 км",X3,2012,3.0,дизель,полный,249,117000,,2295000,https://www.avito.ru/moskva/avtomobili/bmw_x3_3.0_at_2012_117_000_km_4972327132?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImJBdHVVU0JBQVl0N0YxZ1MiO32t89tpJgAAAA
"BMW X1 2.0 AT, 2013, 118 255 км",X1,2013,2.0,дизель,полный,184,118255,,1520000,https://www.avito.ru/novorossiysk/avtomobili/bmw_x1_2.0_at_2013_118_255_km_4794618799?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImJBdHVVU0JBQVl0N0YxZ1MiO32t89tpJgAAAA
"BMW 4 серия 2.0 AT, 2016, 59 000 км",4-Series,2016,2.0,бензин,задний,245,59000,,2999999,https://www.avito.ru/vatutinki/avtomobili/bmw_4_seriya_2.0_at_2016_59_000_km_7259117734?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImJBdHVVU0JBQVl0N0YxZ1MiO32t89tpJgAAAA
"BMW X3 2.0 AT, 2016, 95 803 км",X3,2016,2.0,дизель,полный,190,95803,,2645400,https://www.avito.ru/tomsk/avtomobili/bmw_x3_2.0_at_2016_95_803_km_7229786761?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImJBdHVVU0JBQVl0N0YxZ1MiO32t89tpJgAAAA
"BMW X5 3.0 AT, 2015, 162 200 км",X5,2015,3.0,бензин,полный,306,162200,,2535000,https://www.avito.ru/himki/avtomobili/bmw_x5_3.0_at_2015_162_200_km_4568663378?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImJBdHVVU0JBQVl0N0YxZ1MiO32t89tpJgAAAA
"BMW X6 M 4.4 AT, 2021, 56 000 км",X6,2021,4.4,бензин,полный,625,56000,,10750000,https://www.avito.ru/alushta/avtomobili/bmw_x6_m_4.4_at_2021_56_000_km_7257038961?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImJBdHVVU0JBQVl0N0YxZ1MiO32t89tpJgAAAA
"BMW X1 2.0 AT, 2012, 184 900 км",X1,2012,2.0,бензин,задний,150,184900,,915000,https://www.avito.ru/afonino/avtomobili/bmw_x1_2.0_at_2012_184_900_km_4675489449?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImJBdHVVU0JBQVl0N0YxZ1MiO32t89tpJgAAAA
"BMW X5 3.0 AT, 2011, 270 000 км",X5,2011,3.0,дизель,полный,269,270000,,1950000,https://www.avito.ru/balashiha/avtomobili/bmw_x5_3.0_at_2011_270_000_km_7251372618?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImJBdHVVU0JBQVl0N0YxZ1MiO32t89tpJgAAAA
"BMW X3 3.0 AT, 2020, 68 000 км",X3,2020,3.0,дизель,полный,326,68000,,4990000,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x3_3.0_at_2020_68_000_km_7239663985?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImJBdHVVU0JBQVl0N0YxZ1MiO32t89tpJgAAAA
"BMW 5 серия 3.0 AT, 2018, 150 000 км",5-Series,2018,3.0,дизель,полный,400,150000,,1500000,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_5_seriya_3.0_at_2018_150_000_km_7215361303?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImJBdHVVU0JBQVl0N0YxZ1MiO32t89tpJgAAAA
"BMW 5 серия 2.0 AT, 2014, 222 000 км",5-Series,2014,2.0,дизель,задний,184,222000,,1480000,https://www.avito.ru/neftekamsk/avtomobili/bmw_5_seriya_2.0_at_2014_222_000_km_7257997942?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImJBdHVVU0JBQVl0N0YxZ1MiO32t89tpJgAAAA
"BMW 3 серия 2.0 AT, 2014, 160 000 км",3-Series,2014,2.0,бензин,задний,184,160000,,1600000,https://www.avito.ru/himki/avtomobili/bmw_3_seriya_2.0_at_2014_160_000_km_4479668954?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImJBdHVVU0JBQVl0N0YxZ1MiO32t89tpJgAAAA
"BMW 3 серия 1.6 AT, 2013, 218 000 км",3-Series,2013,1.6,бензин,задний,136,218000,,1379999,https://www.avito.ru/perm/avtomobili/bmw_3_seriya_1.6_at_2013_218_000_km_4850288656?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImJBdHVVU0JBQVl0N0YxZ1MiO32t89tpJgAAAA
"BMW 5 серия 2.0 AT, 2020, 47 000 км",5-Series,2020,2.0,бензин,полный,252,47000,,3650000,https://www.avito.ru/vitebsk/avtomobili/bmw_5_seriya_2.0_at_2020_47_000_km_4501855303?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImJBdHVVU0JBQVl0N0YxZ1MiO32t89tpJgAAAA
"BMW X6 3.0 AT, 2018, 100 000 км",X6,2018,3.0,дизель,полный,249,100000,,4500000,https://www.avito.ru/moskva/avtomobili/bmw_x6_3.0_at_2018_100_000_km_4669285512?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImJBdHVVU0JBQVl0N0YxZ1MiO32t89tpJgAAAA
"BMW X5 3.0 AT, 2015, 132 000 км",X5,2015,3.0,бензин,полный,306,132000,,2818000,https://www.avito.ru/rostov-na-donu/avtomobili/bmw_x5_3.0_at_2015_132_000_km_3440919768?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImFJRERVR3BHbmN6Z0g2QlciO31813BwJgAAAA
"BMW 3 серия 2.0 AT, 2017, 80 000 км",3-Series,2017,2.0,бензин,задний,252,80000,,2150000,https://www.avito.ru/minsk/avtomobili/bmw_3_seriya_2.0_at_2017_80_000_km_7253046834?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImFJRERVR3BHbmN6Z0g2QlciO31813BwJgAAAA
"BMW X5 3.0 AT, 2015, 162 200 км",X5,2015,3.0,бензин,полный,306,162200,,2535000,https://www.avito.ru/himki/avtomobili/bmw_x5_3.0_at_2015_162_200_km_4568663378?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImFJRERVR3BHbmN6Z0g2QlciO31813BwJgAAAA
"BMW X3 3.0 AT, 2012, 117 000 км",X3,2012,3.0,дизель,полный,249,117000,,2295000,https://www.avito.ru/moskva/avtomobili/bmw_x3_3.0_at_2012_117_000_km_4972327132?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImFJRERVR3BHbmN6Z0g2QlciO31813BwJgAAAA
"BMW 6 серия GT 3.0 AT, 2019, 59 000 км",6-Series,2019,3.0,дизель,полный,320,59000,,5300000,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_6_seriya_gt_3.0_at_2019_59_000_km_7257117106?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImFJRERVR3BHbmN6Z0g2QlciO31813BwJgAAAA
"BMW X1 2.0 AT, 2012, 184 900 км",X1,2012,2.0,бензин,задний,150,184900,,915000,https://www.avito.ru/afonino/avtomobili/bmw_x1_2.0_at_2012_184_900_km_4675489449?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImFJRERVR3BHbmN6Z0g2QlciO31813BwJgAAAA
"BMW 5 серия 3.0 AT, 2018, 150 000 км",5-Series,2018,3.0,дизель,полный,400,150000,,1500000,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_5_seriya_3.0_at_2018_150_000_km_7215361303?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImFJRERVR3BHbmN6Z0g2QlciO31813BwJgAAAA
"BMW 3 серия 1.6 AT, 2013, 218 000 км",3-Series,2013,1.6,бензин,задний,136,218000,,1379999,https://www.avito.ru/perm/avtomobili/bmw_3_seriya_1.6_at_2013_218_000_km_4850288656?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImFJRERVR3BHbmN6Z0g2QlciO31813BwJgAAAA
"BMW 5 серия 2.0 AT, 2020, 47 000 км",5-Series,2020,2.0,бензин,полный,252,47000,,3650000,https://www.avito.ru/vitebsk/avtomobili/bmw_5_seriya_2.0_at_2020_47_000_km_4501855303?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImFJRERVR3BHbmN6Z0g2QlciO31813BwJgAAAA
"BMW 3 серия 2.0 AT, 2017, 138 000 км",3-Series,2017,2.0,бензин,задний,252,138000,,2500000,https://www.avito.ru/krasnodar/avtomobili/bmw_3_seriya_2.0_at_2017_138_000_km_7241624167?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImFJRERVR3BHbmN6Z0g2QlciO31813BwJgAAAA
"BMW 3 серия 2.0 AT, 2014, 160 000 км",3-Series,2014,2.0,бензин,задний,184,160000,,1600000,https://www.avito.ru/himki/avtomobili/bmw_3_seriya_2.0_at_2014_160_000_km_4479668954?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImFJRERVR3BHbmN6Z0g2QlciO31813BwJgAAAA
"BMW M4 3.0 AT, 2021, 25 000 км",M4,2021,3.0,бензин,задний,510,25000,,5500000,https://www.avito.ru/rostov-na-donu/avtomobili/bmw_m4_3.0_at_2021_25_000_km_4570046203?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImFJRERVR3BHbmN6Z0g2QlciO31813BwJgAAAA
"BMW X7 4.4 AT, 2020, 35 000 км",X7,2020,4.4,бензин,полный,530,35000,,6200000,https://www.avito.ru/moskva/avtomobili/bmw_x7_4.4_at_2020_35_000_km_7247436819?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImFJRERVR3BHbmN6Z0g2QlciO31813BwJgAAAA
"BMW X1 2.0 AT, 2012, 258 000 км",X1,2012,2.0,дизель,полный,184,258000,,1450000,https://www.avito.ru/simferopol/avtomobili/bmw_x1_2.0_at_2012_258_000_km_7248629701?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImFJRERVR3BHbmN6Z0g2QlciO31813BwJgAAAA
"BMW X5 3.0 AT, 2013, 209 000 км",X5,2013,3.0,дизель,полный,245,209000,,2400000,https://www.avito.ru/bryansk/avtomobili/bmw_x5_3.0_at_2013_209_000_km_4805620073?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImFJRERVR3BHbmN6Z0g2QlciO31813BwJgAAAA
"BMW 5 серия 2.0 AT, 2013, 170 000 км",5-Series,2013,2.0,дизель,задний,184,170000,,1600000,https://www.avito.ru/ryazan/avtomobili/bmw_5_seriya_2.0_at_2013_170_000_km_5003622469?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImFJRERVR3BHbmN6Z0g2QlciO31813BwJgAAAA
"BMW X5 M 4.4 AT, 2017, 106 000 км",X5,2017,4.4,бензин,полный,575,106000,,4800000,https://www.avito.ru/mahachkala/avtomobili/bmw_x5_m_4.4_at_2017_106_000_km_7261003605?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImFJRERVR3BHbmN6Z0g2QlciO31813BwJgAAAA
"BMW X5 3.0 AT, 2012, 230 000 км",X5,2012,3.0,дизель,полный,245,230000,,1799000,https://www.avito.ru/vladimir/avtomobili/bmw_x5_3.0_at_2012_230_000_km_7256877571?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImFJRERVR3BHbmN6Z0g2QlciO31813BwJgAAAA
"BMW X6 3.0 AT, 2018, 100 000 км",X6,2018,3.0,дизель,полный,249,100000,,4500000,https://www.avito.ru/moskva/avtomobili/bmw_x6_3.0_at_2018_100_000_km_4669285512?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImFJRERVR3BHbmN6Z0g2QlciO31813BwJgAAAA
"BMW 5 серия 2.0 AT, 2012, 235 500 км",5-Series,2012,2.0,бензин,задний,245,235500,,1400000,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_5_seriya_2.0_at_2012_235_500_km_4795208038?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImFJRERVR3BHbmN6Z0g2QlciO31813BwJgAAAA
"BMW X1 2.0 AT, 2011, 208 000 км",X1,2011,2.0,дизель,полный,177,208000,,1395000,https://www.avito.ru/tula/avtomobili/bmw_x1_2.0_at_2011_208_000_km_7246910484?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImFJRERVR3BHbmN6Z0g2QlciO31813BwJgAAAA
"BMW 5 серия 3.0 AT, 2011, 200 000 км",5-Series,2011,3.0,бензин,полный,306,200000,,2200000,https://www.avito.ru/mahachkala/avtomobili/bmw_5_seriya_3.0_at_2011_200_000_km_7229332778?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImFJRERVR3BHbmN6Z0g2QlciO31813BwJgAAAA
"BMW 7 серия 3.0 AT, 2020, 82 000 км",7-Series,2020,3.0,бензин,задний,340,82000,,4399999,https://www.avito.ru/zhlobin/avtomobili/bmw_7_seriya_3.0_at_2020_82_000_km_7221811047?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImFJRERVR3BHbmN6Z0g2QlciO31813BwJgAAAA
"BMW X3 2.0 AT, 2020, 60 000 км",X3,2020,2.0,бензин,полный,184,60000,,3750000,https://www.avito.ru/rostov-na-donu/avtomobili/bmw_x3_2.0_at_2020_60_000_km_7219534146?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImFJRERVR3BHbmN6Z0g2QlciO31813BwJgAAAA
"BMW 3 серия 2.0 AT, 2012, 230 000 км",3-Series,2012,2.0,бензин,задний,184,230000,,1870000,https://www.avito.ru/chelyabinsk/avtomobili/bmw_3_seriya_2.0_at_2012_230_000_km_4553365657?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImFJRERVR3BHbmN6Z0g2QlciO31813BwJgAAAA
"BMW 3 серия 2.0 AT, 2020, 86 092 км",3-Series,2020,2.0,дизель,полный,190,86092,,2999000,https://www.avito.ru/moskva/avtomobili/bmw_3_seriya_2.0_at_2020_86_092_km_7257732429?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImFJRERVR3BHbmN6Z0g2QlciO31813BwJgAAAA
"BMW 3 серия 2.0 AT, 2011, 110 000 км",3-Series,2011,2.0,бензин,задний,156,110000,,1570000,https://www.avito.ru/sochi/avtomobili/bmw_3_seriya_2.0_at_2011_110_000_km_7224227620?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImFJRERVR3BHbmN6Z0g2QlciO31813BwJgAAAA
"BMW X6 3.0 AT, 2010, 249 593 км",X6,2010,3.0,бензин,полный,306,249593,,1390000,https://www.avito.ru/krasnodar/avtomobili/bmw_x6_3.0_at_2010_249_593_km_7229867170?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImFJRERVR3BHbmN6Z0g2QlciO31813BwJgAAAA
"BMW 8 серия Gran Coupe 3.0 AT, 2023, 14 950 км",8-Series,2023,3.0,бензин,полный,340,14950,,7700000,https://www.avito.ru/himki/avtomobili/bmw_8_seriya_gran_coupe_3.0_at_2023_14_950_km_4551111331?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImFJRERVR3BHbmN6Z0g2QlciO31813BwJgAAAA
"BMW 3 серия 2.0 AT, 2020, 90 000 км",3-Series,2020,2.0,дизель,задний,190,90000,,3900000,https://www.avito.ru/krasnodar/avtomobili/bmw_3_seriya_2.0_at_2020_90_000_km_7234044765?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImFJRERVR3BHbmN6Z0g2QlciO31813BwJgAAAA
"BMW 3 серия 2.0 AT, 2012, 236 000 км",3-Series,2012,2.0,дизель,задний,184,236000,,1350000,https://www.avito.ru/moskva/avtomobili/bmw_3_seriya_2.0_at_2012_236_000_km_3548240410?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImFJRERVR3BHbmN6Z0g2QlciO31813BwJgAAAA
"BMW X4 2.0 AT, 2019, 88 000 км",X4,2019,2.0,дизель,полный,231,88000,,4090000,https://www.avito.ru/krasnodar/avtomobili/bmw_x4_2.0_at_2019_88_000_km_4170443298?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImFJRERVR3BHbmN6Z0g2QlciO31813BwJgAAAA
"BMW X1 2.0 AT, 2014, 61 000 км",X1,2014,2.0,бензин,полный,184,61000,,1725000,https://www.avito.ru/dzerzhinsk/avtomobili/bmw_x1_2.0_at_2014_61_000_km_4759945518?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImFJRERVR3BHbmN6Z0g2QlciO31813BwJgAAAA
"BMW 5 серия 2.0 AT, 2014, 222 000 км",5-Series,2014,2.0,дизель,задний,184,222000,,1480000,https://www.avito.ru/neftekamsk/avtomobili/bmw_5_seriya_2.0_at_2014_222_000_km_7257997942?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImFJRERVR3BHbmN6Z0g2QlciO31813BwJgAAAA
"BMW X5 3.0 AT, 2017, 120 000 км",X5,2017,3.0,дизель,полный,249,120000,,3800000,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x5_3.0_at_2017_120_000_km_7227414760?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImFJRERVR3BHbmN6Z0g2QlciO31813BwJgAAAA
"BMW X6 M 4.4 AT, 2021, 37 700 км",X6,2021,4.4,бензин,полный,625,37700,,14700000,https://www.avito.ru/rostov-na-donu/avtomobili/bmw_x6_m_4.4_at_2021_37_700_km_7238526222?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImFJRERVR3BHbmN6Z0g2QlciO31813BwJgAAAA
"BMW X5 3.0 AT, 2020, 68 500 км",X5,2020,3.0,дизель,полный,249,68500,,6750000,https://www.avito.ru/novoivanovskoe/avtomobili/bmw_x5_3.0_at_2020_68_500_km_7221225685?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImFJRERVR3BHbmN6Z0g2QlciO31813BwJgAAAA
"BMW 3 серия 1.6 AT, 2014, 243 200 км",3-Series,2014,1.6,бензин,задний,136,243200,,1083000,https://www.avito.ru/moskovskaya_oblast_krasnogorsk/avtomobili/bmw_3_seriya_1.6_at_2014_243_200_km_7260423435?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImFJRERVR3BHbmN6Z0g2QlciO31813BwJgAAAA
"BMW X3 2.0 AT, 2021, 52 500 км",X3,2021,2.0,бензин,полный,252,52500,,4550000,https://www.avito.ru/moskovskaya_oblast_krasnoznamensk/avtomobili/bmw_x3_2.0_at_2021_52_500_km_7220728572?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImFJRERVR3BHbmN6Z0g2QlciO31813BwJgAAAA
"BMW 5 серия 2.0 AT, 2017, 190 000 км",5-Series,2017,2.0,дизель,задний,190,190000,,2375000,https://www.avito.ru/moskva/avtomobili/bmw_5_seriya_2.0_at_2017_190_000_km_7218941381?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImFJRERVR3BHbmN6Z0g2QlciO31813BwJgAAAA
"BMW 5 серия 2.0 AT, 2018, 265 000 км",5-Series,2018,2.0,бензин,полный,249,265000,,2790000,https://www.avito.ru/mahachkala/avtomobili/bmw_5_seriya_2.0_at_2018_265_000_km_4699705502?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImFJRERVR3BHbmN6Z0g2QlciO31813BwJgAAAA
"BMW 3 серия 3.0 AT, 2013, 170 169 км",3-Series,2013,3.0,бензин,полный,306,170169,,2439000,https://www.avito.ru/tyumenskaya_oblast_moskovskiy/avtomobili/bmw_3_seriya_3.0_at_2013_170_169_km_4654021241?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImFJRERVR3BHbmN6Z0g2QlciO31813BwJgAAAA
"BMW 5 серия 2.0 AT, 2013, 190 488 км",5-Series,2013,2.0,бензин,задний,184,190488,,1590000,https://www.avito.ru/yaroslavl/avtomobili/bmw_5_seriya_2.0_at_2013_190_488_km_4724190531?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImFJRERVR3BHbmN6Z0g2QlciO31813BwJgAAAA
"BMW 3 серия 2.0 AT, 2013, 194 000 км",3-Series,2013,2.0,бензин,полный,184,194000,,1650000,https://www.avito.ru/minsk/avtomobili/bmw_3_seriya_2.0_at_2013_194_000_km_7242156315?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImFJRERVR3BHbmN6Z0g2QlciO31813BwJgAAAA
"BMW 7 серия 4.4 AT, 2010, 222 280 км",7-Series,2010,4.4,бензин,задний,407,222280,,1250000,https://www.avito.ru/mahachkala/avtomobili/bmw_7_seriya_4.4_at_2010_222_280_km_4696422466?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImFJRERVR3BHbmN6Z0g2QlciO31813BwJgAAAA
"BMW 3 серия 2.0 AT, 2011, 191 400 км",3-Series,2011,2.0,бензин,задний,156,191400,,1235000,https://www.avito.ru/krasnodar/avtomobili/bmw_3_seriya_2.0_at_2011_191_400_km_4494579293?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImFJRERVR3BHbmN6Z0g2QlciO31813BwJgAAAA
"BMW X1 2.0 AT, 2011, 229 915 км",X1,2011,2.0,дизель,полный,177,229915,,1100000,https://www.avito.ru/krasnodar/avtomobili/bmw_x1_2.0_at_2011_229_915_km_4890272690?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImFJRERVR3BHbmN6Z0g2QlciO31813BwJgAAAA
"BMW 3 серия 1.5 AT, 2015, 130 000 км",3-Series,2015,1.5,бензин,задний,136,130000,,1750000,https://www.avito.ru/surgut/avtomobili/bmw_3_seriya_1.5_at_2015_130_000_km_4202632669?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImFJRERVR3BHbmN6Z0g2QlciO31813BwJgAAAA
"BMW 5 серия 2.0 AT, 2014, 89 751 км",5-Series,2014,2.0,бензин,полный,245,89751,,2590000,https://www.avito.ru/ufa/avtomobili/bmw_5_seriya_2.0_at_2014_89_751_km_4636921966?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InF6Z2xKYnluTGR5a0pNUXAiO32Na7UGJgAAAA
"BMW 5 серия 3.0 AT, 2013, 230 000 км",5-Series,2013,3.0,бензин,задний,306,230000,,1350000,https://www.avito.ru/petrozavodsk/avtomobili/bmw_5_seriya_3.0_at_2013_230_000_km_3060525019?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InF6Z2xKYnluTGR5a0pNUXAiO32Na7UGJgAAAA
"BMW X5 3.0 AT, 2014, 223 000 км",X5,2014,3.0,бензин,полный,306,223000,,2790000,https://www.avito.ru/groznyy/avtomobili/bmw_x5_3.0_at_2014_223_000_km_4565648170?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InF6Z2xKYnluTGR5a0pNUXAiO32Na7UGJgAAAA
"BMW X5 3.0 AT, 2020, 68 500 км",X5,2020,3.0,дизель,полный,249,68500,,6750000,https://www.avito.ru/novoivanovskoe/avtomobili/bmw_x5_3.0_at_2020_68_500_km_7221225685?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InF6Z2xKYnluTGR5a0pNUXAiO32Na7UGJgAAAA
"BMW 4 серия 3.0 AT, 2014, 148 500 км",4-Series,2014,3.0,бензин,полный,306,148500,,2050000,https://www.avito.ru/kazan/avtomobili/bmw_4_seriya_3.0_at_2014_148_500_km_7230874563?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InF6Z2xKYnluTGR5a0pNUXAiO32Na7UGJgAAAA
"BMW X7 4.4 AT, 2020, 35 000 км",X7,2020,4.4,бензин,полный,530,35000,,6200000,https://www.avito.ru/moskva/avtomobili/bmw_x7_4.4_at_2020_35_000_km_7247436819?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InF6Z2xKYnluTGR5a0pNUXAiO32Na7UGJgAAAA
"BMW 3 серия 3.0 AT, 2021, 49 000 км",3-Series,2021,3.0,дизель,полный,340,49000,,4700000,https://www.avito.ru/brest/avtomobili/bmw_3_seriya_3.0_at_2021_49_000_km_4570642841?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InF6Z2xKYnluTGR5a0pNUXAiO32Na7UGJgAAAA
"BMW X5 3.0 AT, 2022, 20 000 км",X5,2022,3.0,дизель,полный,286,20000,,7770000,https://www.avito.ru/vidnoe/avtomobili/bmw_x5_3.0_at_2022_20_000_km_4718919267?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InF6Z2xKYnluTGR5a0pNUXAiO32Na7UGJgAAAA
"BMW 3 серия 2.0 AT, 2012, 236 000 км",3-Series,2012,2.0,дизель,задний,184,236000,,1350000,https://www.avito.ru/moskva/avtomobili/bmw_3_seriya_2.0_at_2012_236_000_km_3548240410?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InF6Z2xKYnluTGR5a0pNUXAiO32Na7UGJgAAAA
"BMW 7 серия 4.4 AT, 2011, 153 000 км",7-Series,2011,4.4,бензин,полный,407,153000,,1400000,https://www.avito.ru/volgograd/avtomobili/bmw_7_seriya_4.4_at_2011_153_000_km_7229906979?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InF6Z2xKYnluTGR5a0pNUXAiO32Na7UGJgAAAA
"BMW 3 серия 1.6 AT, 2013, 134 000 км",3-Series,2013,1.6,бензин,задний,136,134000,,1490000,https://www.avito.ru/sochi/avtomobili/bmw_3_seriya_1.6_at_2013_134_000_km_7225667366?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InF6Z2xKYnluTGR5a0pNUXAiO32Na7UGJgAAAA
"BMW 3 серия 2.0 AT, 2012, 159 057 км",3-Series,2012,2.0,бензин,задний,245,159057,,1470000,https://www.avito.ru/penza/avtomobili/bmw_3_seriya_2.0_at_2012_159_057_km_4701707037?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InF6Z2xKYnluTGR5a0pNUXAiO32Na7UGJgAAAA
