Модель,Серия,Год,Объем двигателя (л),Топливо,Привод,Мощность (л.с.),Пробег (км),КПП,Цена (₽),Ссылка
"BMW X5 3.0 AT, 2017, 135 000 км",X5,2017,3.0,дизель,полный,218,135000,,3930000,https://www.avito.ru/bataysk/avtomobili/bmw_x5_3.0_at_2017_135_000_km_5121464967?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InJ6VXh5RlhLa2VpaVdPVHYiO31BnpmVJgAAAA
"BMW 5 серия 2.0 AT, 2012, 200 000 км",5-Series,2012,2.0,бензин,задний,184,200000,,1650000,https://www.avito.ru/kropotkin/avtomobili/bmw_5_seriya_2.0_at_2012_200_000_km_4938044186?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InJ6VXh5RlhLa2VpaVdPVHYiO31BnpmVJgAAAA
"BMW X5 3.0 AT, 2022, 23 850 км",X5,2022,3.0,бензин,полный,340,23850,,5990000,https://www.avito.ru/moskva/avtomobili/bmw_x5_3.0_at_2022_23_850_km_4658204101?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InJ6VXh5RlhLa2VpaVdPVHYiO31BnpmVJgAAAA
"BMW 5 серия 2.0 AT, 2016, 186 000 км",5-Series,2016,2.0,дизель,задний,190,186000,,2250000,https://www.avito.ru/moskva/avtomobili/bmw_5_seriya_2.0_at_2016_186_000_km_7240232746?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InJ6VXh5RlhLa2VpaVdPVHYiO31BnpmVJgAAAA
"BMW 5 серия 2.0 AT, 2014, 157 000 км",5-Series,2014,2.0,бензин,задний,184,157000,,1990000,https://www.avito.ru/rostov-na-donu/avtomobili/bmw_5_seriya_2.0_at_2014_157_000_km_3934047865?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InJ6VXh5RlhLa2VpaVdPVHYiO31BnpmVJgAAAA
"BMW X6 3.0 AT, 2021, 66 000 км",X6,2021,3.0,бензин,полный,340,66000,,3900000,https://www.avito.ru/moskva/avtomobili/bmw_x6_3.0_at_2021_66_000_km_7226653523?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InJ6VXh5RlhLa2VpaVdPVHYiO31BnpmVJgAAAA
"BMW 5 серия 2.0 AT, 2018, 140 000 км",5-Series,2018,2.0,дизель,полный,190,140000,,3000000,https://www.avito.ru/magnitogorsk/avtomobili/bmw_5_seriya_2.0_at_2018_140_000_km_4882004928?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InJ6VXh5RlhLa2VpaVdPVHYiO31BnpmVJgAAAA
"BMW M4 3.0 AMT, 2017, 60 000 км",M4,2017,3.0,бензин,задний,450,60000,,5500000,https://www.avito.ru/saratov/avtomobili/bmw_m4_3.0_amt_2017_60_000_km_7260614442?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InJ6VXh5RlhLa2VpaVdPVHYiO31BnpmVJgAAAA
"BMW Z4 2.0 AT, 2021, 63 000 км",Z4,2021,2.0,бензин,задний,258,63000,,4450000,https://www.avito.ru/moskva/avtomobili/bmw_z4_2.0_at_2021_63_000_km_7247468206?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InJ6VXh5RlhLa2VpaVdPVHYiO31BnpmVJgAAAA
"BMW 3 серия 2.0 AT, 2019, 87 000 км",3-Series,2019,2.0,бензин,полный,258,87000,,3200000,https://www.avito.ru/novosibirsk/avtomobili/bmw_3_seriya_2.0_at_2019_87_000_km_7259620295?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InJ6VXh5RlhLa2VpaVdPVHYiO31BnpmVJgAAAA
"BMW M4 3.0 AMT, 2018, 17 372 км",M4,2018,3.0,бензин,задний,450,17372,,5260000,https://www.avito.ru/moskva/avtomobili/bmw_m4_3.0_amt_2018_17_372_km_7223752181?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InJ6VXh5RlhLa2VpaVdPVHYiO31BnpmVJgAAAA
"BMW X5 3.0 AT, 2014, 225 000 км",X5,2014,3.0,бензин,полный,306,225000,,2690000,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x5_3.0_at_2014_225_000_km_4837675796?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InJ6VXh5RlhLa2VpaVdPVHYiO31BnpmVJgAAAA
"BMW 3 серия 2.0 AT, 2016, 138 000 км",3-Series,2016,2.0,бензин,задний,245,138000,,2830000,https://www.avito.ru/stavropol/avtomobili/bmw_3_seriya_2.0_at_2016_138_000_km_7236004339?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InJ6VXh5RlhLa2VpaVdPVHYiO31BnpmVJgAAAA
"BMW X1 2.0 AT, 2013, 160 000 км",X1,2013,2.0,бензин,полный,184,160000,,1000000,https://www.avito.ru/kurskaya_oblast_zheleznogorsk/avtomobili/bmw_x1_2.0_at_2013_160_000_km_7231236495?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InJ6VXh5RlhLa2VpaVdPVHYiO31BnpmVJgAAAA
"BMW 5 серия 2.0 AT, 2013, 174 000 км",5-Series,2013,2.0,бензин,задний,245,174000,,1890000,https://www.avito.ru/orenburg/avtomobili/bmw_5_seriya_2.0_at_2013_174_000_km_4592209378?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InJ6VXh5RlhLa2VpaVdPVHYiO31BnpmVJgAAAA
"BMW 7 серия 3.0 AT, 2013, 144 000 км",7-Series,2013,3.0,бензин,полный,320,144000,,1850000,https://www.avito.ru/etkul/avtomobili/bmw_7_seriya_3.0_at_2013_144_000_km_4756244378?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InJ6VXh5RlhLa2VpaVdPVHYiO31BnpmVJgAAAA
